Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage Origin Port,Leg Start Port/anch,In Transit Port Calls,MMSI,Imo,Voyage Origin Port Atd,Vessel Type - Generic,Capacity - Dwt,My Fleets,Flag
SELARAS MAS,DEPARTURE,Port,GRESIK,2021-12-09 15:49 UTC,-,-,In Transit,525015287,9488267,2021-12-02 11:08 UTC,Cargo,4201,-,Indonesia
KT.SUBALI.2,DEPARTURE,Port,GRESIK,2021-12-09 17:16 UTC,-,-,Not in Transit,525100619,8993746,2021-12-09 14:47 UTC,Tug,-,-,Indonesia
ACACIA,DEPARTURE,Port,GRESIK,2021-12-09 21:55 UTC,-,-,Not in Transit,371044000,9476599,2021-11-15 14:27 UTC,Tanker,13565,-,Panama
KT.SUBALI.2,ARRIVAL,Port,GRESIK,2021-12-09 22:21 UTC,SURABAYA,SURABAYA,Not in Transit,525100619,8993746,2021-12-09 22:07 UTC,Tug,-,-,Indonesia
POLAIR3,DEPARTURE,Port,GRESIK,2021-12-09 22:39 UTC,-,-,Not in Transit,525000003,0,2021-12-09 05:44 UTC,Other,-,-,Indonesia
PUTRA ABADI 77,ARRIVAL,Port,GRESIK,2021-12-09 23:07 UTC,SURABAYA ANCH,SURABAYA ANCH,Not in Transit,525300079,0,2021-12-05 00:59 UTC,Tug,-,-,Indonesia
GILI IYANG,ARRIVAL,Port,GRESIK,2021-12-09 23:18 UTC,GRESIK,GRESIK,Not in Transit,525000109,9717565,2021-12-03 13:22 UTC,Passenger,1109,-,Indonesia
POLAIR3,ARRIVAL,Port,GRESIK,2021-12-09 23:21 UTC,GRESIK,GRESIK,Not in Transit,525000003,0,2021-12-09 22:39 UTC,Other,-,-,Indonesia
CIPTA HARAPAN 99,ARRIVAL,Port,GRESIK,2021-12-09 23:48 UTC,GRESIK,GRESIK,Not in Transit,525200294,9862803,2021-12-06 21:11 UTC,Special Craft,-,-,Indonesia
TB.SAMUDRA SINDO II,DEPARTURE,Port,GRESIK,2021-12-10 00:22 UTC,-,-,Not in Transit,525020143,0,2021-11-19 20:42 UTC,Other,-,-,Indonesia
CORVUS,ARRIVAL,Port,GRESIK,2021-12-10 00:48 UTC,KETAPANG,SURABAYA ANCH,Not in Transit,525119102,9641493,2021-11-08 05:10 UTC,Tanker,5619,-,Indonesia
PUTRA ABADI 77,DEPARTURE,Port,GRESIK,2021-12-10 00:53 UTC,-,-,Not in Transit,525300079,0,2021-12-05 00:59 UTC,Tug,-,-,Indonesia
TB MICHAEL H,DEPARTURE,Port,GRESIK,2021-12-10 01:07 UTC,-,-,In Transit,525800081,0,2021-10-19 02:17 UTC,Tug,-,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-10 02:18 UTC,-,-,Not in Transit,525200068,9793648,2021-12-09 06:38 UTC,Tug,190,-,Indonesia
BINA BENUA 16,ARRIVAL,Port,GRESIK,2021-12-10 02:20 UTC,GRESIK,GRESIK,Not in Transit,525500087,0,2021-12-03 09:56 UTC,Tug,-,-,Indonesia
EDRICKO 3,DEPARTURE,Port,GRESIK,2021-12-10 02:29 UTC,-,-,Not in Transit,525015278,9087893,2021-12-04 19:18 UTC,Tanker,1390,-,Indonesia
JUNEYAO MARU IV,ARRIVAL,Port,GRESIK,2021-12-10 02:39 UTC,KARIANGAU,SURABAYA ANCH,Not in Transit,525018280,9711212,2021-11-26 01:47 UTC,Tanker,4900,-,Indonesia
POLAIR3,DEPARTURE,Port,GRESIK,2021-12-10 02:39 UTC,-,-,Not in Transit,525000003,0,2021-12-09 22:39 UTC,Other,-,-,Indonesia
TB.UVM 88,DEPARTURE,Port,GRESIK,2021-12-10 03:12 UTC,-,-,Not in Transit,525000000,0,2021-12-09 03:53 UTC,Tug,-,-,Indonesia
TRANSKO AQUILA,ARRIVAL,Port,GRESIK,2021-12-10 03:15 UTC,GRESIK,GRESIK,Not in Transit,525004138,9216042,2021-12-07 08:14 UTC,Tanker,3592,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-10 03:16 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-10 02:18 UTC,Tug,190,-,Indonesia
KT.SUBALI.2,DEPARTURE,Port,GRESIK,2021-12-10 03:52 UTC,-,-,Not in Transit,525100619,8993746,2021-12-09 22:07 UTC,Tug,-,-,Indonesia
TB.TEGUH MANDIRI,DEPARTURE,Port,GRESIK,2021-12-10 04:24 UTC,-,-,Not in Transit,525100162,0,2021-11-15 15:34 UTC,Tug,-,-,Indonesia
TRIFOSA,DEPARTURE,Port,GRESIK,2021-12-10 04:24 UTC,-,-,Not in Transit,525006001,8217099,2021-12-09 01:32 UTC,Cargo,6774,-,Indonesia
CORAL CRYSTAL,DEPARTURE,Port,GRESIK,2021-12-10 04:52 UTC,-,-,Not in Transit,373789000,9591985,2021-11-24 19:31 UTC,Cargo,78103,-,Panama
KT.SUBALI.2,ARRIVAL,Port,GRESIK,2021-12-10 05:11 UTC,SURABAYA,SURABAYA RIVER ANCH,Not in Transit,525100619,8993746,2021-12-09 22:07 UTC,Tug,-,-,Indonesia
GAS AMARIN JAYA,DEPARTURE,Port,GRESIK,2021-12-10 05:52 UTC,-,-,Not in Transit,525900619,9364966,2021-12-07 03:03 UTC,Tanker,16800,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-10 06:05 UTC,-,-,Not in Transit,525200068,9793648,2021-12-10 02:18 UTC,Tug,190,-,Indonesia
TB.UVM 88,ARRIVAL,Port,GRESIK,2021-12-10 07:13 UTC,GRESIK,GRESIK,Not in Transit,525000000,0,2021-12-10 03:12 UTC,Tug,-,-,Indonesia
SEATTLE HARMONY,ARRIVAL,Port,GRESIK,2021-12-10 08:37 UTC,BAYOVAR,SURABAYA ANCH,Not in Transit,371085000,9836919,2021-11-04 22:18 UTC,Cargo,38421,-,Panama
SEROJA XV,DEPARTURE,Port,GRESIK,2021-12-10 09:51 UTC,-,-,Not in Transit,525020371,9767211,2021-12-02 01:09 UTC,Tanker,5573,-,Indonesia
TIRTA SAMUDRA XXIX,DEPARTURE,Port,GRESIK,2021-12-10 10:29 UTC,-,-,Not in Transit,525020107,9664158,2021-12-01 15:54 UTC,Cargo,3400,-,Indonesia
KT.SUBALI.2,DEPARTURE,Port,GRESIK,2021-12-10 10:35 UTC,-,-,Not in Transit,525100619,8993746,2021-12-09 22:07 UTC,Tug,-,-,Indonesia
GLORIA SENTOSA,ARRIVAL,Port,GRESIK,2021-12-10 10:58 UTC,KARAPAN ARMADA STERL,KARAPAN ARMADA STERL,Not in Transit,525006041,9047958,2021-12-09 05:04 UTC,Tanker,1380,-,Indonesia
KT.SUBALI.2,ARRIVAL,Port,GRESIK,2021-12-10 10:58 UTC,GRESIK,GRESIK,Not in Transit,525100619,8993746,2021-12-10 10:35 UTC,Tug,-,-,Indonesia
BINA BENUA 16,DEPARTURE,Port,GRESIK,2021-12-10 11:19 UTC,-,-,Not in Transit,525500087,0,2021-12-03 09:56 UTC,Tug,-,-,Indonesia
POLAIR3,ARRIVAL,Port,GRESIK,2021-12-10 11:31 UTC,SURABAYA,SURABAYA,Not in Transit,525000003,0,2021-12-10 11:26 UTC,Other,-,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-10 11:35 UTC,SURABAYA,SURABAYA,Not in Transit,525200068,9793648,2021-12-10 11:25 UTC,Tug,190,-,Indonesia
TB.SAMUDRA SINDO 28,DEPARTURE,Port,GRESIK,2021-12-10 11:52 UTC,-,-,Not in Transit,525200705,0,2021-12-09 05:21 UTC,Tug,-,-,Indonesia
GILI IYANG,DEPARTURE,Port,GRESIK,2021-12-10 12:37 UTC,-,-,Not in Transit,525000109,9717565,2021-12-03 13:22 UTC,Passenger,1109,-,Indonesia
SEROJA V,ARRIVAL,Port,GRESIK,2021-12-10 12:43 UTC,KUMAI,KUMAI,Not in Transit,525020081,9658769,2021-11-29 10:20 UTC,Tanker,3500,-,Indonesia
PRISCO BRAVO,ARRIVAL,Port,GRESIK,2021-12-10 14:12 UTC,PASIR GUDANG,SURABAYA ANCH,Not in Transit,273217470,9011519,2021-12-07 14:42 UTC,Tanker,7975,-,Russia
SEROJA XXIII,DEPARTURE,Port,GRESIK,2021-12-10 17:13 UTC,-,-,Not in Transit,525201794,9922885,2021-12-02 03:22 UTC,Tanker,4785,-,Indonesia
SEROJA III,DEPARTURE,Port,GRESIK,2021-12-10 17:37 UTC,-,-,Not in Transit,525020127,9662825,2021-12-09 08:16 UTC,Tanker,3500,-,Indonesia
SEROJA III,DEPARTURE,Port,GRESIK,2021-12-10 17:37 UTC,-,-,Not in Transit,525020127,9662825,2021-12-09 08:16 UTC,Tanker,3500,-,Indonesia
SPT,ARRIVAL,Port,GRESIK,2021-12-10 18:09 UTC,SURABAYA,SURABAYA RIVER ANCH,Not in Transit,525012144,8032712,2021-12-08 17:29 UTC,Tanker,220,-,Indonesia
SPT,ARRIVAL,Port,GRESIK,2021-12-10 18:09 UTC,SURABAYA,SURABAYA RIVER ANCH,Not in Transit,525012144,8032712,2021-12-08 17:29 UTC,Tanker,220,-,Indonesia
CIPTA HARAPAN 99,DEPARTURE,Port,GRESIK,2021-12-10 20:13 UTC,-,-,Not in Transit,525200294,9862803,2021-12-06 21:11 UTC,Special Craft,-,-,Indonesia
CIPTA HARAPAN 99,DEPARTURE,Port,GRESIK,2021-12-10 20:13 UTC,-,-,Not in Transit,525200294,9862803,2021-12-06 21:11 UTC,Tanker,-,-,Indonesia
SPT,DEPARTURE,Port,GRESIK,2021-12-10 20:59 UTC,-,-,Not in Transit,525012144,8032712,2021-12-08 17:29 UTC,Tanker,220,-,Indonesia
SPT,DEPARTURE,Port,GRESIK,2021-12-10 20:59 UTC,-,-,Not in Transit,525012144,8032712,2021-12-08 17:29 UTC,Special Craft,220,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-10 22:22 UTC,JAKARTA,JAKARTA,Not in Transit,525000002,0,2021-12-10 04:15 UTC,Tug,-,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-10 22:22 UTC,JAKARTA,JAKARTA,Not in Transit,525000002,0,2021-12-10 04:15 UTC,Tanker,-,-,Indonesia
TB MARUTA VII,ARRIVAL,Port,GRESIK,2021-12-10 22:57 UTC,SEMARANG,SEMARANG,Not in Transit,525018123,0,2021-11-15 03:36 UTC,Tug,-,-,Indonesia
TB MARUTA VII,ARRIVAL,Port,GRESIK,2021-12-10 22:57 UTC,SEMARANG,SEMARANG,Not in Transit,525018123,0,2021-11-15 03:36 UTC,Tug,-,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-10 23:12 UTC,-,-,Not in Transit,525000002,0,2021-12-10 04:15 UTC,Tug,-,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-10 23:12 UTC,-,-,Not in Transit,525000002,0,2021-12-10 04:15 UTC,Tug,-,-,Indonesia
TB HARRY 11,DEPARTURE,Port,GRESIK,2021-12-10 23:39 UTC,-,-,Not in Transit,525300187,0,2021-11-12 16:58 UTC,Tug,-,-,Indonesia
TB.RIMAU 1611,ARRIVAL,Port,GRESIK,2021-12-11 00:01 UTC,BANJARMASIN,BANJARMASIN,Not in Transit,525012239,0,2021-11-30 22:20 UTC,Tug,-,-,Indonesia
SMS VINCENT,DEPARTURE,Port,GRESIK,2021-12-11 00:11 UTC,-,-,Not in Transit,525019391,9459228,2021-12-08 23:46 UTC,Tug,96,-,Indonesia
BINTANG MUTIARA XI,ARRIVAL,Port,GRESIK,2021-12-11 00:16 UTC,KUMAI,SURABAYA RIVER ANCH,Not in Transit,525024331,0,2021-12-07 22:01 UTC,Special Craft,-,-,Indonesia
TB CHARIS 01,ARRIVAL,Port,GRESIK,2021-12-11 01:07 UTC,SURABAYA,SURABAYA,In Transit,525012158,0,2021-12-11 00:51 UTC,Tug,-,-,Indonesia
KM.TAREX 1,DEPARTURE,Port,GRESIK,2021-12-11 02:01 UTC,-,-,Not in Transit,525100270,0,2021-12-01 02:32 UTC,Cargo,-,-,Indonesia
525000003 99,ARRIVAL,Port,GRESIK,2021-12-11 02:06 UTC,TANJUNG UBAN,PALEMBANG ANCH,Not in Transit,525000003,0,2021-12-06 02:05 UTC,-,-,-,Indonesia
GLORIA SENTOSA,DEPARTURE,Port,GRESIK,2021-12-11 02:22 UTC,-,-,Not in Transit,525006041,9047958,2021-12-09 05:04 UTC,Tanker,1380,-,Indonesia
TB CHARIS 01,DEPARTURE,Port,GRESIK,2021-12-11 02:32 UTC,-,-,In Transit,525012158,0,2021-12-11 00:51 UTC,Tug,-,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-11 02:56 UTC,GRESIK,GRESIK,Not in Transit,525000002,0,2021-12-10 23:12 UTC,Tug,-,-,Indonesia
CORVUS,DEPARTURE,Port,GRESIK,2021-12-11 04:25 UTC,-,-,Not in Transit,525119102,9641493,2021-11-08 05:10 UTC,Tanker,5619,-,Indonesia
EXPRESS BAHARI 8E,ARRIVAL,Port,GRESIK,2021-12-11 05:43 UTC,GRESIK,GRESIK,Not in Transit,525018298,0,2021-12-09 02:26 UTC,Passenger,-,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-11 05:57 UTC,-,-,Not in Transit,525000002,0,2021-12-10 23:12 UTC,Tug,-,-,Indonesia
ISA VICTORY,ARRIVAL,Port,GRESIK,2021-12-11 06:16 UTC,TELUKBAYUR,SURABAYA ANCH,Not in Transit,525015407,9060716,2021-12-04 09:47 UTC,Cargo,8237,-,Indonesia
KLM BUDI MURNI,ARRIVAL,Port,GRESIK,2021-12-11 08:09 UTC,GRESIK,GRESIK,Not in Transit,525000097,0,2021-11-15 15:28 UTC,Cargo,-,-,Indonesia
AQUARIA KALIMANTAN,ARRIVAL,Port,GRESIK,2021-12-11 09:15 UTC,-,-,Not in Transit,525500509,0,-,Tug,-,-,Indonesia
TB.KSA 90,DEPARTURE,Port,GRESIK,2021-12-11 09:19 UTC,-,-,Not in Transit,525400597,0,2021-12-06 02:52 UTC,Tug,-,-,Indonesia
SMS VINCENT,ARRIVAL,Port,GRESIK,2021-12-11 09:28 UTC,GRESIK,GRESIK,Not in Transit,525019391,9459228,2021-12-11 00:11 UTC,Special Craft,96,-,Indonesia
KLM ASIAH MANDIRIA,ARRIVAL,Port,GRESIK,2021-12-11 09:31 UTC,GRESIK,GRESIK,Not in Transit,525900701,0,2021-11-18 02:21 UTC,Cargo,-,-,Indonesia
KM. MEGA ANTARA,ARRIVAL,Port,GRESIK,2021-12-11 09:42 UTC,SAMPIT,SAMPIT,Not in Transit,525020264,0,2021-12-08 21:35 UTC,Cargo,-,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-11 11:11 UTC,GRESIK,GRESIK,Not in Transit,525000002,0,2021-12-11 05:57 UTC,Tug,-,-,Indonesia
TB.BINTANG MUTIARA37,ARRIVAL,Port,GRESIK,2021-12-11 11:19 UTC,SURABAYA,SURABAYA RIVER ANCH,Not in Transit,525200931,0,2021-12-06 15:50 UTC,Tug,-,-,Indonesia
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-11 11:24 UTC,SURABAYA,SURABAYA,Not in Transit,525200036,9791377,2021-12-11 11:01 UTC,Tug,-,-,Indonesia
ALEXANDRIA,ARRIVAL,Port,GRESIK,2021-12-11 11:28 UTC,PALOPO,MAKASSAR ANCH,Not in Transit,525010058,8317227,2021-12-05 06:59 UTC,Tanker,4865,-,Indonesia
NASHALINA,DEPARTURE,Port,GRESIK,2021-12-11 13:32 UTC,-,-,Not in Transit,525120008,9296779,2021-11-26 12:20 UTC,Cargo,52307,-,Indonesia
SEABIRD,ARRIVAL,Port,GRESIK,2021-12-11 14:40 UTC,PELINTUNG,SURABAYA ANCH,Not in Transit,636020973,9707687,2021-12-08 12:47 UTC,Cargo,63553,-,Liberia
TRANSKO AQUILA,DEPARTURE,Port,GRESIK,2021-12-11 15:23 UTC,-,-,Not in Transit,525004138,9216042,2021-12-07 08:14 UTC,Tanker,3592,-,Indonesia
ASP 19,ARRIVAL,Port,GRESIK,2021-12-11 15:51 UTC,JAKARTA,JAKARTA ANCH,Not in Transit,525015887,0,2021-12-08 10:30 UTC,Tug,-,-,Indonesia
525000003 99,DEPARTURE,Port,GRESIK,2021-12-11 16:03 UTC,-,-,Not in Transit,525000003,0,2021-12-06 02:05 UTC,-,-,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-11 17:16 UTC,-,-,Not in Transit,525200036,9791377,2021-12-11 11:01 UTC,Tug,-,-,Indonesia
525000003 99,ARRIVAL,Port,GRESIK,2021-12-11 17:55 UTC,GRESIK,GRESIK,Not in Transit,525000003,0,2021-12-11 16:03 UTC,-,-,-,Indonesia
TB.KIETRANS 31,ARRIVAL,Port,GRESIK,2021-12-11 21:05 UTC,TANJUNG UBAN,TANJUNG UBAN,Not in Transit,525003389,0,2021-11-29 15:15 UTC,Tug,-,-,Indonesia
SEROJA V,DEPARTURE,Port,GRESIK,2021-12-11 23:50 UTC,-,-,Not in Transit,525020081,9658769,2021-11-29 10:20 UTC,Tanker,3500,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-12 00:03 UTC,-,-,Not in Transit,525000002,0,2021-12-11 05:57 UTC,Tug,-,-,Indonesia
TB GLOBAL M XXIII,DEPARTURE,Port,GRESIK,2021-12-12 00:28 UTC,-,-,Not in Transit,525003291,0,2021-10-29 10:22 UTC,Tug,-,-,Indonesia
EXPRESS BAHARI 8E,DEPARTURE,Port,GRESIK,2021-12-12 02:32 UTC,-,-,Not in Transit,525018298,0,2021-12-09 02:26 UTC,Passenger,-,-,Indonesia
NEW GLOBAL,ARRIVAL,Port,GRESIK,2021-12-12 03:10 UTC,BADE,SURABAYA ANCH,Not in Transit,525500462,9875599,2021-12-03 16:49 UTC,Tanker,7998,-,Indonesia
TB.NRS III,DEPARTURE,Port,GRESIK,2021-12-12 03:21 UTC,-,-,Not in Transit,525400021,0,2021-11-20 18:03 UTC,Tug,-,-,Indonesia
NIKI BAROKAH,ARRIVAL,Port,GRESIK,2021-12-12 03:51 UTC,LABUANABAJO,LABUANABAJO,Not in Transit,525024288,8210015,2021-12-10 18:53 UTC,Passenger,1054,-,Indonesia
INDO DHARMA 9,DEPARTURE,Port,GRESIK,2021-12-12 03:57 UTC,-,-,Not in Transit,525024228,8839938,2021-12-02 02:21 UTC,Cargo,1400,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-12 04:08 UTC,GRESIK,GRESIK,Not in Transit,525000002,0,2021-12-12 00:03 UTC,Tug,-,-,Indonesia
NIKI BAROKAH,DEPARTURE,Port,GRESIK,2021-12-12 04:26 UTC,-,-,Not in Transit,525024288,8210015,2021-12-10 18:53 UTC,Passenger,1054,-,Indonesia
TEGAS JAYA,ARRIVAL,Port,GRESIK,2021-12-12 04:36 UTC,PERTAMINA ABHERKA,PERTAMINA ABHERKA,Not in Transit,525018371,9640229,2021-12-12 01:10 UTC,Special Craft,100,-,Indonesia
KM EXPRESS BAHARI 6F,DEPARTURE,Port,GRESIK,2021-12-12 05:09 UTC,-,-,Not in Transit,525500455,0,2021-12-08 02:20 UTC,Passenger,-,-,Indonesia
TEGAS JAYA,DEPARTURE,Port,GRESIK,2021-12-12 06:39 UTC,-,-,Not in Transit,525018371,9640229,2021-12-12 01:10 UTC,Special Craft,100,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-12 06:54 UTC,-,-,Not in Transit,525000002,0,2021-12-12 00:03 UTC,Tug,-,-,Indonesia
TB.MARINA SATU,ARRIVAL,Port,GRESIK,2021-12-12 07:34 UTC,SURABAYA RIVER ANCH,SURABAYA RIVER ANCH,Not in Transit,525400415,0,2021-12-12 07:16 UTC,Tug,-,-,Indonesia
TB.CAHAYA SURYA 2,DEPARTURE,Port,GRESIK,2021-12-12 07:49 UTC,-,-,Not in Transit,525003428,0,2021-12-08 06:19 UTC,Tug,-,-,Indonesia
OCEAN MARINE 2,ARRIVAL,Port,GRESIK,2021-12-12 07:59 UTC,BONTANG,BONTANG,Not in Transit,525023361,0,2021-11-19 06:46 UTC,Tug,-,-,Indonesia
TIRTA SAMUDRA VI,ARRIVAL,Port,GRESIK,2021-12-12 08:11 UTC,SAMPIT,SURABAYA ANCH,Not in Transit,525022256,8864385,2021-12-08 15:09 UTC,Tug,-,-,Indonesia
JAYANEGARA 303,ARRIVAL,Port,GRESIK,2021-12-12 10:05 UTC,SURABAYA,SURABAYA,Not in Transit,525200037,9791365,2021-12-12 09:36 UTC,Tug,-,-,Indonesia
EMMANUEL C,ARRIVAL,Port,GRESIK,2021-12-12 11:34 UTC,AQABA INDUSTRIAL,SURABAYA ANCH,Not in Transit,538005790,9394909,2021-11-23 19:17 UTC,Cargo,58837,-,Marshall Is
TIRTA SAMUDRA XXX,ARRIVAL,Port,GRESIK,2021-12-12 11:49 UTC,SAMPIT,SURABAYA ANCH,Not in Transit,525021088,9678836,2021-12-08 09:50 UTC,Cargo,3400,-,Indonesia
SMS VINCENT,DEPARTURE,Port,GRESIK,2021-12-12 13:10 UTC,-,-,Not in Transit,525019391,9459228,2021-12-11 00:11 UTC,Special Craft,96,-,Indonesia
KTM 1002,ARRIVAL,Port,GRESIK,2021-12-12 13:32 UTC,GRESIK,GRESIK,Not in Transit,525000000,0,2021-12-09 09:43 UTC,Other,-,-,Indonesia
CAHAYA MUSTIKA LAUT 1,ARRIVAL,Port,GRESIK,2021-12-12 14:45 UTC,SURABAYA,SURABAYA ANCH,Not in Transit,525200941,9128805,2021-12-10 16:21 UTC,Cargo,23564,-,Indonesia
SMS VINCENT,ARRIVAL,Port,GRESIK,2021-12-12 15:25 UTC,GRESIK,GRESIK,Not in Transit,525019391,9459228,2021-12-12 13:10 UTC,Special Craft,96,-,Indonesia
TB.BINTANG MUTIARA37,DEPARTURE,Port,GRESIK,2021-12-12 15:38 UTC,-,-,Not in Transit,525200931,0,2021-12-06 15:50 UTC,Tug,-,-,Indonesia
JAYANEGARA 303,DEPARTURE,Port,GRESIK,2021-12-12 15:52 UTC,-,-,Not in Transit,525200037,9791365,2021-12-12 09:36 UTC,Tug,-,-,Indonesia
KT.SUBALI.2,DEPARTURE,Port,GRESIK,2021-12-12 18:08 UTC,-,-,Not in Transit,525100619,8993746,2021-12-10 10:35 UTC,Tug,-,-,Indonesia
SARANA SUKSES,ARRIVAL,Port,GRESIK,2021-12-12 18:35 UTC,BANJARMASIN,SURABAYA ANCH,Not in Transit,525000111,8910885,2021-12-09 02:44 UTC,Cargo,2550,-,Indonesia
KLM BERKAT ARAFAT SJ,DEPARTURE,Port,GRESIK,2021-12-12 19:47 UTC,-,-,Not in Transit,525700242,0,2021-11-14 16:57 UTC,Cargo,-,-,Indonesia
FORTUNE ISLAND,ARRIVAL,Port,GRESIK,2021-12-12 20:20 UTC,JAKARTA,JAKARTA,Not in Transit,525005398,9140396,2021-12-11 09:34 UTC,Cargo,6243,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-12 21:04 UTC,GRESIK,GRESIK,Not in Transit,525000002,0,2021-12-12 06:54 UTC,Tug,-,-,Indonesia
PRISCO BRAVO,DEPARTURE,Port,GRESIK,2021-12-12 23:28 UTC,-,-,Not in Transit,273217470,9011519,2021-12-07 14:42 UTC,Tanker,7975,-,Russia
GIAT ARMADA 01,DEPARTURE,Port,GRESIK,2021-12-13 01:39 UTC,-,-,Not in Transit,525201554,9079755,2021-11-26 21:30 UTC,Tanker,3950,-,Indonesia
GAS MELAWI,ARRIVAL,Port,GRESIK,2021-12-13 03:51 UTC,CILACAP,CILACAP,Not in Transit,525019602,9119725,2021-12-11 00:05 UTC,Tanker,3053,-,Indonesia
MENTARI PRATAMA,ARRIVAL,Port,GRESIK,2021-12-13 05:34 UTC,SURABAYA,SURABAYA,In Transit,525015349,8733433,2021-12-13 05:28 UTC,Cargo,5276,-,Indonesia
LM KEMPAS,ARRIVAL,Port,GRESIK,2021-12-13 05:47 UTC,KUMAI,SURABAYA ANCH,Not in Transit,525101568,9917660,2021-11-28 17:45 UTC,Tug,136,-,Indonesia
MENTARI PRATAMA,DEPARTURE,Port,GRESIK,2021-12-13 06:22 UTC,-,-,In Transit,525015349,8733433,2021-12-13 05:28 UTC,Cargo,5276,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-13 08:07 UTC,-,-,Not in Transit,525000002,0,2021-12-12 06:54 UTC,Tug,-,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-13 09:23 UTC,GRESIK,GRESIK,Not in Transit,525000002,0,2021-12-13 08:07 UTC,Tug,-,-,Indonesia
SEATTLE HARMONY,DEPARTURE,Port,GRESIK,2021-12-13 12:56 UTC,-,-,Not in Transit,371085000,9836919,2021-11-04 22:18 UTC,Cargo,38421,-,Panama
KM.BUNGA TERATAI XXI,DEPARTURE,Port,GRESIK,2021-12-13 13:15 UTC,-,-,Not in Transit,525003218,0,2021-11-24 16:01 UTC,Cargo,-,-,Indonesia
KALTIM EXPRESS 22,ARRIVAL,Port,GRESIK,2021-12-13 14:03 UTC,SAMPIT,SURABAYA ANCH,Not in Transit,525400229,8905359,2021-11-26 11:59 UTC,Cargo,1115,-,Indonesia
SEA ARIES,DEPARTURE,Port,GRESIK,2021-12-13 14:58 UTC,-,-,Not in Transit,355900000,9236846,2021-11-28 06:19 UTC,Cargo,31820,-,Panama
525000002 99,DEPARTURE,Port,GRESIK,2021-12-13 15:56 UTC,-,-,Not in Transit,525000002,0,2021-12-13 08:07 UTC,Tug,-,-,Indonesia
KM BAGUS,ARRIVAL,Port,GRESIK,2021-12-13 16:22 UTC,SURABAYA,SURABAYA,Not in Transit,525000000,0,2021-10-20 05:31 UTC,Cargo,-,-,Indonesia
TB.RIMAU 1611,DEPARTURE,Port,GRESIK,2021-12-13 18:01 UTC,-,-,Not in Transit,525012239,0,2021-11-30 22:20 UTC,Tug,-,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-13 18:28 UTC,GRESIK,GRESIK,Not in Transit,525000002,0,2021-12-13 15:56 UTC,Tug,-,-,Indonesia
TB MARUTA VII,DEPARTURE,Port,GRESIK,2021-12-13 22:51 UTC,-,-,Not in Transit,525018123,0,2021-11-15 03:36 UTC,Tug,-,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-13 23:32 UTC,-,-,Not in Transit,525000002,0,2021-12-13 15:56 UTC,Tug,-,-,Indonesia
SMS VINCENT,DEPARTURE,Port,GRESIK,2021-12-14 00:20 UTC,-,-,Not in Transit,525019391,9459228,2021-12-12 13:10 UTC,Special Craft,96,-,Indonesia
TEGAS JAYA,ARRIVAL,Port,GRESIK,2021-12-14 00:54 UTC,PERTAMINA ABHERKA,PERTAMINA ABHERKA,Not in Transit,525018371,9640229,2021-12-13 12:44 UTC,Special Craft,100,-,Indonesia
KM BAGUS,DEPARTURE,Port,GRESIK,2021-12-14 01:34 UTC,-,-,Not in Transit,525000000,0,2021-10-20 05:31 UTC,Cargo,-,-,Indonesia
ANUGERAH BUANA III,ARRIVAL,Port,GRESIK,2021-12-14 03:28 UTC,KENDARI,KENDARI,Not in Transit,525015259,7109556,2021-12-10 02:47 UTC,Cargo,2239,-,Indonesia
GILIMANUK II,DEPARTURE,Port,GRESIK,2021-12-14 03:28 UTC,-,-,Not in Transit,525019470,8994568,2021-11-18 01:14 UTC,Passenger,210,-,Indonesia
TEGAS JAYA,DEPARTURE,Port,GRESIK,2021-12-14 03:42 UTC,-,-,Not in Transit,525018371,9640229,2021-12-13 12:44 UTC,Special Craft,100,-,Indonesia
