Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage Origin Port,Leg Start Port/anch,In Transit Port Calls,MMSI,Imo,Voyage Origin Port Atd,Vessel Type - Generic,Capacity - Dwt,My Fleets,Flag
BUMA ONYX,ARRIVAL,Port,GRESIK,2021-12-19 09:05 UTC,SURABAYA,SURABAYA,Not in Transit,525200896,0,2021-12-18 23:25 UTC,Tug,-,-,Indonesia
CAHAYA MUSTIKA LAUT 1,DEPARTURE,Port,GRESIK,2021-12-19 09:42 UTC,-,-,Not in Transit,525200941,9128805,2021-12-10 16:21 UTC,Cargo,23564,-,Indonesia
NBP PERDANA,DEPARTURE,Port,GRESIK,2021-12-19 11:28 UTC,-,-,Not in Transit,525300571,0,2021-10-31 05:51 UTC,Tug,-,-,Indonesia
TB.FLORES 1,DEPARTURE,Port,GRESIK,2021-12-19 12:40 UTC,-,-,Not in Transit,525010178,0,2021-12-18 12:23 UTC,Tug,-,-,Indonesia
PELITA MANDIRI 8,DEPARTURE,Port,GRESIK,2021-12-19 12:59 UTC,-,-,Not in Transit,525016018,9004669,2021-12-03 23:53 UTC,Cargo,6944,-,Indonesia
NAVIG8 AXINITE,ARRIVAL,Port,GRESIK,2021-12-19 13:47 UTC,HUANGGE,SURABAYA ANCH,Not in Transit,538005778,9719771,2021-12-13 02:45 UTC,Tanker,37596,-,Marshall Is
525000002 99,ARRIVAL,Port,GRESIK,2021-12-19 13:51 UTC,GRESIK,GRESIK,Not in Transit,525000002,0,2021-12-18 22:04 UTC,Tug,-,-,Indonesia
TMH 10,ARRIVAL,Port,GRESIK,2021-12-19 14:20 UTC,GARONGKONG,GARONGKONG,Not in Transit,525200509,0,2021-11-25 05:43 UTC,Tug,-,-,Indonesia
SEMAR SEBELAS,ARRIVAL,Port,GRESIK,2021-12-19 14:22 UTC,GRESIK,GRESIK,Not in Transit,525012302,9028902,2021-12-19 02:45 UTC,Tug,-,-,Indonesia
BSP XX,ARRIVAL,Port,GRESIK,2021-12-19 15:05 UTC,SEMARANG,SURABAYA ANCH,Not in Transit,525003366,9778258,2021-12-10 14:19 UTC,Cargo,3500,-,Indonesia
SATRIA LAKSANA 188,ARRIVAL,Port,GRESIK,2021-12-19 15:38 UTC,GRESIK,GRESIK,Not in Transit,525400489,0,2021-11-17 06:29 UTC,Tug,-,-,Indonesia
EQUINOX,DEPARTURE,Port,GRESIK,2021-12-19 15:48 UTC,-,-,Not in Transit,572145220,9486245,2021-12-15 12:51 UTC,Tanker,19976,-,Tuvalu
TB SUMBER MARINE 5,ARRIVAL,Port,GRESIK,2021-12-19 16:03 UTC,SURABAYA RIVER ANCH,SURABAYA RIVER ANCH,Not in Transit,525000000,0,2021-11-29 11:15 UTC,Tug,-,-,Indonesia
TB SEWALI,DEPARTURE,Port,GRESIK,2021-12-19 16:15 UTC,-,-,Not in Transit,525119138,0,2021-12-11 15:08 UTC,Tug,-,-,Indonesia
BERKAH 99,ARRIVAL,Port,GRESIK,2021-12-19 16:51 UTC,CILEGON,SURABAYA ANCH,Not in Transit,538003834,9200457,2021-12-13 07:53 UTC,Cargo,48220,-,Marshall Is
KT.SUBALI.2,ARRIVAL,Port,GRESIK,2021-12-19 18:02 UTC,SURABAYA,SURABAYA,Not in Transit,525100619,8993746,2021-12-19 17:46 UTC,Tug,-,-,Indonesia
JAYANEGARA 202,DEPARTURE,Port,GRESIK,2021-12-19 19:09 UTC,-,-,Not in Transit,525200069,9793636,2021-12-18 09:02 UTC,Tug,190,-,Indonesia
TB.SAMUDRA SINDO 28,DEPARTURE,Port,GRESIK,2021-12-19 20:28 UTC,-,-,Not in Transit,525200705,0,2021-12-13 00:39 UTC,Tug,-,-,Indonesia
TB.BINTANG MUTIARA37,ARRIVAL,Port,GRESIK,2021-12-19 20:37 UTC,SURABAYA,SURABAYA RIVER ANCH,Not in Transit,525200931,0,2021-12-15 02:49 UTC,Tug,-,-,Indonesia
CONCORD,ARRIVAL,Port,GRESIK,2021-12-19 21:50 UTC,PASIR GUDANG,SURABAYA ANCH,Not in Transit,525119166,9274006,2021-12-15 09:21 UTC,Tanker,8578,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-19 22:43 UTC,-,-,Not in Transit,525000002,0,2021-12-18 22:04 UTC,Tug,-,-,Indonesia
LCT. RPB XVII,ARRIVAL,Port,GRESIK,2021-12-19 22:49 UTC,GRESIK,GRESIK,Not in Transit,525005380,0,2021-12-08 21:25 UTC,Other,-,-,Indonesia
TB.DUTA KAPUAS 12,ARRIVAL,Port,GRESIK,2021-12-19 23:29 UTC,SURABAYA,SURABAYA,In Transit,525300259,0,2021-11-14 04:51 UTC,Special Craft,-,-,Indonesia
SEROJA XXII,DEPARTURE,Port,GRESIK,2021-12-19 23:36 UTC,-,-,Not in Transit,525201634,9922873,2021-12-14 08:42 UTC,Tanker,4764,-,Indonesia
SEROJA XVI,DEPARTURE,Port,GRESIK,2021-12-19 23:59 UTC,-,-,Not in Transit,525024402,9767223,2021-12-14 03:41 UTC,Tanker,5573,-,Indonesia
